,new_skincare_brand,new_skincare_product,new_generic_brand,new_generic_product,new_skincare_combo,new_generic_combo
156,herbivore,rosewater hydration trio,murad,glow on the spot,herbivore rosewater hydration trio,murad glow on the spot
157,blithe,inbetween makeup prep essence,it cosmetics,superhero elastic stretch volumizing mascara mini confetti popper,blithe inbetween makeup prep essence,it cosmetics superhero elastic stretch volumizing mascara mini confetti popper
158,bioeffect,egf serum,briogeo,hair-o-scopes brightest stars bestsellers,bioeffect egf serum,briogeo hair-o-scopes brightest stars bestsellers
159,glamglow,paint the town set,anastasia beverly hills,glitter adhesive,glamglow paint the town set,anastasia beverly hills glitter adhesive
160,fresh,vitamin c antioxidant glow face mist,youth to the people,super glow hydration duo,fresh vitamin c antioxidant glow face mist,youth to the people super glow hydration duo
161,ren clean skincare,stop being so sensitive,inc.redible,you lucky pucker prep & party lip gift set,ren clean skincare stop being so sensitive,inc.redible you lucky pucker prep & party lip gift set
162,dr. jart+,"maskapalooza! every mask, every concern",sephora collection,museum of ice cream x sephora collection i scream charm bracelet,"dr. jart+ maskapalooza! every mask, every concern",sephora collection museum of ice cream x sephora collection i scream charm bracelet
163,kiehl's since 1851,collection for a cause,nudestix,smokey gold eyes mini set,kiehl's since 1851 collection for a cause,nudestix smokey gold eyes mini set
164,fresh,sugar sweetcase,peter thomas roth,eyes to die for turbo duo,fresh sugar sweetcase,peter thomas roth eyes to die for turbo duo
165,sephora collection,glitter & chill cooling mask,huda beauty,obsessions eyeshadow palette – precious stones collection,sephora collection glitter & chill cooling mask,huda beauty obsessions eyeshadow palette – precious stones collection
166,glamglow,bubblesheet oxygenating deep cleanse mask - breast cancer awareness edition,welleco,the super elixir refill,glamglow bubblesheet oxygenating deep cleanse mask - breast cancer awareness edition,welleco the super elixir refill
167,clinique,nighttime tlc,urban decay,naked cherry eyeshadow palette,clinique nighttime tlc,urban decay naked cherry eyeshadow palette
168,tarte,mermaid staycation,tocca,crema veloce gift set,tarte mermaid staycation,tocca crema veloce gift set
169,origins,high-potency night-a-mins resurfacing cream with fruit-derived ahas,fenty beauty by rihanna,diamond bomb all-over diamond veil,origins high-potency night-a-mins resurfacing cream with fruit-derived ahas,fenty beauty by rihanna diamond bomb all-over diamond veil
170,estée lauder,"revitalize + glow for firmer, youthful-looking skin",eve lom,decadent cleanser gift set,"estée lauder revitalize + glow for firmer, youthful-looking skin",eve lom decadent cleanser gift set
171,first aid beauty,priming paradise,too faced,gingerbread spice eye shadow palette,first aid beauty priming paradise,too faced gingerbread spice eye shadow palette
172,fresh,sugar wonder drops lip primer,sephora favorites,best hair ever,fresh sugar wonder drops lip primer,sephora favorites best hair ever
173,glamglow,hydration dream team set,natasha denona,gold eyeshadow palette,glamglow hydration dream team set,natasha denona gold eyeshadow palette
174,boscia,good clean fun - powered by plants skin kit,korres,skin balancing beauties,boscia good clean fun - powered by plants skin kit,korres skin balancing beauties
175,dior,capture dreamskin fresh & perfect cushion broad spectrum spf 50,tarte,pineapple of my eye collector's set,dior capture dreamskin fresh & perfect cushion broad spectrum spf 50,tarte pineapple of my eye collector's set
176,biossance,squalane + glycolic renewal facial,sephora collection,the enchanting colors eye and face palette,biossance squalane + glycolic renewal facial,sephora collection the enchanting colors eye and face palette
177,dr. jart+,ceramidin liquid,sephora favorites,give me more lip,dr. jart+ ceramidin liquid,sephora favorites give me more lip
178,boscia,dig deep - the charcoal skin kit,peter thomas roth,must haves vault,boscia dig deep - the charcoal skin kit,peter thomas roth must haves vault
179,glamglow,tropicalcleanse daily exfoliating cleaner,hourglass,ambient lighting edit unlocked palette,glamglow tropicalcleanse daily exfoliating cleaner,hourglass ambient lighting edit unlocked palette
