,Product Name,Posting Date,Upvotes,Source
313,nude attitude mini stay all day liquid lipstick set,N/A,N/A,Sephora New
314,color hit nail polish,N/A,N/A,Sephora New
315,special edition supersonic gift set,N/A,N/A,Sephora New
316,beauty universe makeup & skincare set,N/A,N/A,Sephora New
317,sexy nude gloss balm kit,N/A,N/A,Sephora New
318,j'adore eau de parfum jewel,N/A,N/A,Sephora New
319,lilly lashes for sephora collection lash set,N/A,N/A,Sephora New
320,rising star canister brush set,N/A,N/A,Sephora New
321,star lit diamond powder,N/A,N/A,Sephora New
322,perfume sampler,2013-10-30 15:52:29,2,Sephora New
323,kiss me stila mini stay all day liquid lipstick set,N/A,N/A,Sephora New
324,give me some glitter set,N/A,N/A,Sephora New
325,vanity flare nude eyeshadow palette,N/A,N/A,Sephora New
326,the big crushin’ smoothing + styling bundle,N/A,N/A,Sephora New
327,confession vault lipstick collection,N/A,N/A,Sephora New
328,glimmer balm,2017-08-20 19:21:29,1,Sephora New
329,enchanted sky eyeshadow palette,N/A,N/A,Sephora New
330,starlit brush set,N/A,N/A,Sephora New
331,aglow face mist set,N/A,N/A,Sephora New
332,wish upon a star advent calendar,N/A,N/A,Sephora New
333,deluxe perfume sampler,2018-02-27 19:26:45,1,Sephora New
334,peaches & dreams face set,N/A,N/A,Sephora New
335,party all night mini lip plumping set,N/A,N/A,Sephora New
336,glitter gang,N/A,N/A,Sephora New
337,starlit clutch,N/A,N/A,Sephora New
338,pro essential brush set: rose gold edition,N/A,N/A,Sephora New
339,glitter storm eyeshadow palette,N/A,N/A,Sephora New
340,starlight sparkle dual finish highlighter palette,N/A,N/A,Sephora New
341,glitter adhesive,N/A,N/A,Sephora New
342,my kind of love discovery set,2015-11-09 14:48:47,1,Sephora New
343,smokey gold eyes mini set,N/A,N/A,Sephora New
344,glitter flip duo,N/A,N/A,Sephora New
345,perfect hair day jumbo set,N/A,N/A,Sephora New
346,party animal nail set,N/A,N/A,Sephora New
347,you lucky pucker prep & party lip gift set,N/A,N/A,Sephora New
348,the enchanting colors eye and face palette,N/A,N/A,Sephora New
349,supervixen nail trio,N/A,N/A,Sephora New
350,obsessions eyeshadow palette – precious stones collection,N/A,N/A,Sephora New
351,naked cherry eyeshadow palette,N/A,N/A,Sephora New
352,black opium cracker gift set,N/A,N/A,Sephora New
353,diamond bomb all-over diamond veil,N/A,N/A,Sephora New
354,the overachiever high coverage concealer,N/A,N/A,Sephora New
355,thickening go big volumizing treatment,N/A,N/A,Sephora New
356,gingerbread spice eye shadow palette,N/A,N/A,Sephora New
357,ambient lighting edit volume 4,N/A,N/A,Sephora New
358,miss dior blooming bouquet rollerpearl,N/A,N/A,Sephora New
359,starlit traincase,N/A,N/A,Sephora New
360,pineapple of my eye collector's set,N/A,N/A,Sephora New
361,give me more lip,2012-12-07 07:39:57,1,Sephora New
362,perfume treasures,N/A,N/A,Sephora New
363,gold eyeshadow palette,N/A,N/A,Sephora New
364,lashstash,N/A,N/A,Sephora New
365,caviar anti-aging replenishing moisture jumbo kit,N/A,N/A,Sephora New
366,ambient lighting edit unlocked palette,N/A,N/A,Sephora New
367,norvina eyeshadow palette,N/A,N/A,Sephora New
368,sephora pro new nudes palette,N/A,N/A,Sephora New
369,mothership v eyeshadow palette - bronze seduction,N/A,N/A,Sephora New
370,skintune blur perfecting primer serum,N/A,N/A,Sephora New
371,sweet surprise mystery blind bag,N/A,N/A,Sephora New
372,my burberry blush gift set,N/A,N/A,Sephora New
373,all nighter long-lasting makeup setting spray duo,N/A,N/A,Sephora New
374,rouge dior mini 4-piece set,N/A,N/A,Sephora New
375,hair-o-scopes brightest stars bestsellers,N/A,N/A,Sephora New
376,power play concealer,2018-08-20 14:30:38,1,Sephora New
377,matte revolution lipstick,N/A,N/A,Sephora New
378,museum of ice cream x sephora collection i scream charm bracelet,N/A,N/A,Sephora New
379,airbrush flawless finish setting powder,2018-06-23 01:44:56,1,Sephora New
380,mini tatouage collection,N/A,N/A,Sephora New
381,rouge dior ultra rouge lipstick,N/A,N/A,Sephora New
382,clean reserve set,N/A,N/A,Sephora New
383,climax mascara,N/A,N/A,Sephora New
384,melted gingerbread girl liquified long wear matte lipstick,N/A,N/A,Sephora New
385,party hair styling spray collection,N/A,N/A,Sephora New
386,rouge pur couture the slim matte lipstick,N/A,N/A,Sephora New
387,glow for it,2012-01-15 10:24:14,1,Sephora New
388,star catcher eyeshadow pallete,N/A,N/A,Sephora New
389,dream queen limited-edition make up collection,N/A,N/A,Sephora New
390,under the christmas tree breakaway face & eye set,N/A,N/A,Sephora New
391,fetish eyeshadow palette,N/A,N/A,Sephora New
392,mon paris eau de parfum gift set,N/A,N/A,Sephora New
393,sweet treats agave lip care set,N/A,N/A,Sephora New
394,pret-a-powder limited edition powder & puff,N/A,N/A,Sephora New
395,best hair ever,2012-05-28 07:28:42,2,Sephora New
396,agave treat trio mini agave lip mask set,N/A,N/A,Sephora New
397,orgasm infatuation palette,N/A,N/A,Sephora New
398,spellbound brush set,N/A,N/A,Sephora New
399,mini star eyeshadow palette,2014-01-01 12:27:44,23,Sephora New
400,lip cheat lip liner,N/A,N/A,Sephora New
401,superstars kit,2013-10-01 20:31:47,2,Sephora New
402,acqua di gioia set,N/A,N/A,Sephora New
403,aura alight glitter & glow highlighter and liquid eyeshadow set,N/A,N/A,Sephora New
404,restore dry scalp treatment,2014-06-26 13:10:20,4,Sephora New
405,milk makeup,2012-05-31 08:31:35,1,Sephora New
406,beautyblender,2013-05-23 14:07:37,5,Sephora New
407,becca,2012-12-01 17:29:14,1,Sephora New
408,too faced,2012-05-24 22:13:51,1,Sephora New
409,anastasia beverly hills,2014-03-11 10:57:42,2,Sephora New
410,nars,2012-11-08 21:40:23,2,Sephora New
411,sephora favorites,2012-11-29 21:43:20,2,Sephora New
412,fenty beauty by rihanna,2017-12-01 14:08:43,1,Sephora New
413,dyson,2014-07-01 04:54:22,3,Sephora New
414,hourglass,2012-11-29 21:18:43,1,Sephora New
415,miu miu,2014-04-18 07:54:38,1,Sephora New
416,drybar,2015-03-11 12:57:59,1,Sephora New
417,stila,2012-11-24 22:45:47,1,Sephora New
418,huda beauty,2017-01-18 21:42:49,4,Sephora New
419,chanel,2012-03-14 01:36:45,1,Sephora New
420,ghd,2013-01-08 20:19:27,1,Sephora New
421,gucci,2014-03-10 06:05:55,20,Sephora New
422,nudestix,2016-12-28 13:27:19,2,Sephora New
423,make up for ever,2012-05-24 14:13:18,2,Sephora New
424,benefit cosmetics,2013-02-24 20:40:41,7,Sephora New
425,winky lux,2018-01-31 14:47:42,1,Sephora New
426,lilah b.,N/A,N/A,Sephora New
427,buxom,2013-08-29 10:23:53,1,Sephora New
428,ciaté london,N/A,N/A,Sephora New
429,kilian,N/A,N/A,Sephora New
430,living proof,2012-08-10 02:26:42,2,Sephora New
431,deborah lippmann,2014-12-06 14:36:52,1,Sephora New
432,inc.redible,N/A,N/A,Sephora New
433,urban decay,2012-05-24 23:35:03,5,Sephora New
434,yves saint laurent,2013-05-04 18:08:56,6,Sephora New
435,bumble and bumble,2013-01-06 18:34:25,1,Sephora New
436,atelier cologne,2018-01-25 17:38:19,1,Sephora New
437,natasha denona,2017-11-14 05:00:41,1,Sephora New
438,alterna haircare,2015-05-06 12:48:14,2,Sephora New
439,pat mcgrath labs,N/A,N/A,Sephora New
440,farsáli,2017-05-31 18:31:55,1,Sephora New
441,burberry,2013-02-06 18:37:59,1,Sephora New
442,briogeo,2016-12-28 13:27:19,2,Sephora New
443,cover fx,2012-12-05 23:01:16,1,Sephora New
444,clean,2012-01-14 22:52:55,1,Sephora New
445,kat von d,2013-04-06 22:03:50,3,Sephora New
446,bite beauty,2013-05-19 23:25:26,1,Sephora New
447,laura mercier,2012-07-11 15:59:35,3,Sephora New
448,giorgio armani beauty,2014-11-24 16:07:29,8,Sephora New
